id,docid,type,eid,entity,prov,is_correct,category,expectation
158663,overlappingpdfs.133077.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133077.pdf.task_244_7_7,Stephanian|306.95000|298.90000,"{244,7,7,Stephanian}",,1,1
227219,overlappingpdfs.136443.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.136443.pdf.task_190_1_1,Proterozoic|2500.00000|541.00000,"{190,1,1,Proterozoic}",,1,1
276496,overlappingpdfs.130410.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.130410.pdf.task_547_16_16,Changhsingian|254.17000|252.17000,"{547,16,16,Changhsingian}",,1,1
223232,overlappingpdfs.136021.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.136021.pdf.task_378_5_5,Leonard|290.10000|268.00000,"{378,5,5,Leonard}",,1,1
157084,overlappingpdfs.132929.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132929.pdf.task_440_16_16,Barremian|129.40000|125.00000,"{440,16,16,Barremian}",,1,1
265739,overlappingpdfs.131917.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.131917.pdf.task_788_11_11,Dresbachian|501.00000|485.40000,"{788,11,11,Dresbachian}",,1,1
257548,overlappingpdfs.133044.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133044.pdf.task_97_12_12,Cambrian|541.00000|485.40000,"{97,12,12,Cambrian}",,1,1
191368,overlappingpdfs.131239.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.131239.pdf.task_30_24_24,Silurian|443.40000|419.20000,"{30,24,24,Silurian}",,1,0.999
318267,overlappingpdfs.1353.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.1353.pdf.task_58_38_38,Cenozoic|66.00000|0.00000,"{58,38,38,Cenozoic}",,1,1
211407,overlappingpdfs.132702.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132702.pdf.task_585_1_2,Late Miocene|11.6080|5.3320,"{585,1,2,""Late Miocene""}",,1,1
198765,overlappingpdfs.131000.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.131000.pdf.task_84_14_14,Ibex|189.60000|183.00000,"{84,14,14,Ibex}",,1,0.996
232468,overlappingpdfs.138678.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138678.pdf.task_5740_15_15,Paleocene|66.00000|56.00000,"{5740,15,15,Paleocene}",,1,1
306145,overlappingpdfs.130763.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.130763.pdf.task_41_4_4,Pleistocene|2.58800|0.01170,"{41,4,4,Pleistocene}",,1,1
251285,overlappingpdfs.130623.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.130623.pdf.task_30_19_20,Westphalian B|314.600|314.600,"{30,19,20,""Westphalian B""}",,1,1
311325,overlappingpdfs.132951.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132951.pdf.task_1045_5_5,Kimmeridgian|157.30000|152.10000,"{1045,5,5,Kimmeridgian}",,1,1
308590,overlappingpdfs.135188.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.135188.pdf.task_536_13_13,Jurassic|201.30000|145.00000,"{536,13,13,Jurassic}",,1,1
172925,overlappingpdfs.133500.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.133500.pdf.task_209_10_11,Late Cretaceous|99.6000|65.5000,"{209,10,11,""Late Cretaceous""}",,1,1
155350,overlappingpdfs.138578.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138578.pdf.task_111_9_9,Devonian|419.20000|358.90000,"{111,9,9,Devonian}",,1,1
158657,overlappingpdfs.138450.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138450.pdf.task_186_58_59,Late Cretaceous|99.6000|65.5000,"{186,58,59,""Upper Cretaceous""}",,1,1
239695,overlappingpdfs.138613.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138613.pdf.task_5243_32_32,Cretaceous|145.00000|66.00000,"{5243,32,32,Cretaceous}",,1,1
300496,overlappingpdfs.132756.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132756.pdf.task_952_8_8,Tertiary|66.00000|2.58800,"{952,8,8,Tertiary}",,1,1
257151,overlappingpdfs.132069.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132069.pdf.task_17_0_0,Ashgillian|449.50000|443.70000,"{17,0,0,ASHGILLIAN}",,1,1
319287,overlappingpdfs.131246.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.131246.pdf.task_368_0_0,Silurian|443.40000|419.20000,"{368,0,0,Silurian}",,1,1
248762,overlappingpdfs.132751.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132751.pdf.task_1057_1_2,Early Ordovician|488.3000|471.8000,"{1057,1,2,""early Ordovician""}",,1,1
218869,overlappingpdfs.138644.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138644.pdf.task_3398_9_9,Jurassic|201.30000|145.00000,"{3398,9,9,Jurassic}",,1,1
154561,overlappingpdfs.138578.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138578.pdf.task_4039_3_5_PART_0,Siegenian|412.30000|409.10000,"{4039,3,5,Siegenian}",,1,1
194195,overlappingpdfs.132987.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132987.pdf.task_635_2_4_PART_2,Ordovician|485.40000|443.40000,"{635,2,4,Ordovician}",,1,1
326400,overlappingpdfs.132829.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132829.pdf.task_1248_15_15,Albian|113.00000|100.50000,"{1248,15,15,Albian}",,1,1
245542,overlappingpdfs.132675.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132675.pdf.task_34_5_6,Late Cretaceous|99.6000|65.5000,"{34,5,6,""Upper Cretaceous""}",,1,0.996
305088,overlappingpdfs.131905.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.131905.pdf.task_574_15_15,Carboniferous|358.90000|298.90000,"{574,15,15,Carboniferous}",,1,1
325382,overlappingpdfs.138239.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.138239.pdf.task_2046_7_7,Eocene|56.00000|33.90000,"{2046,7,7,Eocene}",,1,1
208408,overlappingpdfs.135476.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.135476.pdf.task_470_17_17,Hirnantian|445.20000|443.40000,"{470,17,17,Hirnantian}",,1,1
320028,overlappingpdfs.132360.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132360.pdf.task_1695_3_3,Paleogene|66.00000|23.03000,"{1695,3,3,Paleogene}",,1,0.996
339258,overlappingpdfs.135939.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.135939.pdf.task_795_10_10,Meishucunian|541.00000|516.00000,"{795,10,10,Meishucunian}",,1,1
335197,overlappingpdfs.132455.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132455.pdf.task_44_29_29,Tithonian|152.10000|145.00000,"{44,29,29,Tithonian}",,1,0.996
261005,overlappingpdfs.135216.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.135216.pdf.task_255_1_1,Ordovician|485.40000|443.40000,"{255,1,1,Ordovician}",,1,1
168423,overlappingpdfs.132858.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.132858.pdf.task_13_7_8,Late Devonian|385.3000|359.2000,"{13,7,8,""Late Devonian""}",,1,1
239205,overlappingpdfs.136699.pdf.task,INTERVAL,TIME_DOC_overlappingpdfs.136699.pdf.task_99_20_20,Sonyea|383.70000|376.10000,"{99,20,20,Sonyea}",,1,1
