id,docid,type,eid,entity,prov,is_correct,category,expectation
47585,overlappingpdfs.138707.pdf.task,member,ROCK_DOC_overlappingpdfs.138707.pdf.task_1529_3_4,rose creek member,"{1529,3,4,""RosE CREEK""}",,1,0.996
135119,overlappingpdfs.133261.pdf.task,coal,ROCK_DOC_overlappingpdfs.133261.pdf.task_314_7_7,sanlianhe coal,"{314,7,7,Sanlianhe}",,1,0.995
151256,overlappingpdfs.133047.pdf.task,limestone,ROCK_DOC_overlappingpdfs.133047.pdf.task_5_13_14,pillara limestone formation,"{5,13,14,""Pillara Limestone""}",,1,0.996
62809,overlappingpdfs.138755.pdf.task,formation,ROCK_DOC_overlappingpdfs.138755.pdf.task_1781_26_27,hornerstown formation,"{1781,26,27,""Hornerstown Formation""}",,1,1
61682,overlappingpdfs.138755.pdf.task,formation,ROCK_DOC_overlappingpdfs.138755.pdf.task_1142_25_25,tinton formation,"{1142,25,25,Tinton}",,1,1
108528,overlappingpdfs.132098.pdf.task,group,ROCK_DOC_overlappingpdfs.132098.pdf.task_49_44_45,washington land group,"{49,44,45,""Washington Land""}",,1,1
122860,overlappingpdfs.132859.pdf.task,formation,ROCK_DOC_overlappingpdfs.132859.pdf.task_545_9_9,lance formation,"{545,9,9,Lance}",,1,1
82162,overlappingpdfs.132771.pdf.task,formation,ROCK_DOC_overlappingpdfs.132771.pdf.task_767_5_7,red sandstone formation,"{767,5,7,""Red Sandstone Formation""}",,1,1
44037,overlappingpdfs.138707.pdf.task,group,ROCK_DOC_overlappingpdfs.138707.pdf.task_2246_36_36,arikaree group,"{2246,36,36,Arikaree}",,1,0.996
78060,overlappingpdfs.132401.pdf.task,clay,ROCK_DOC_overlappingpdfs.132401.pdf.task_579_15_16,oxford clay,"{579,15,16,""Oxford Clay""}",,1,0.98
100471,overlappingpdfs.132095.pdf.task,formation,ROCK_DOC_overlappingpdfs.132095.pdf.task_21_2_4,los colorados formation,"{21,2,4,""Los Colorados Formation""}",,1,0.999
42174,overlappingpdfs.138707.pdf.task,group,ROCK_DOC_overlappingpdfs.138707.pdf.task_243_62_63,picture gorge group,"{243,62,63,""Picture Gorge""}",,1,1
121600,overlappingpdfs.138462.pdf.task,sand,ROCK_DOC_overlappingpdfs.138462.pdf.task_1114_7_7,jewett sand,"{1114,7,7,jewett}",,1,0.996
106157,overlappingpdfs.132655.pdf.task,group,ROCK_DOC_overlappingpdfs.132655.pdf.task_595_14_16,purbeck limestone group,"{595,14,16,""Purbeck Limestone Group""}",,1,1
114231,overlappingpdfs.132412.pdf.task,formation,ROCK_DOC_overlappingpdfs.132412.pdf.task_26_9_9,amdeh formation,"{26,9,9,Amdeh}",,1,0.997
58881,overlappingpdfs.138622.pdf.task,member,ROCK_DOC_overlappingpdfs.138622.pdf.task_7028_127_127,scenic member,"{7028,127,127,Scenic}",,1,0.999
105710,overlappingpdfs.132453.pdf.task,formation,ROCK_DOC_overlappingpdfs.132453.pdf.task_146_3_6,pterosaur from the crato formation,"{146,3,6,""PTEROSAUR FROM THE CRATO""}",,1,1
27722,overlappingpdfs.132840.pdf.task,formation,ROCK_DOC_overlappingpdfs.132840.pdf.task_31_24_24,hsiangyang formation,"{31,24,24,Hsiangyang}",,1,1
91537,overlappingpdfs.138519.pdf.task,group,ROCK_DOC_overlappingpdfs.138519.pdf.task_42_0_1,hemingford group,"{42,0,1,""Hemingford Group""}",,1,1
1101,overlappingpdfs.132547.pdf.task,member,ROCK_DOC_overlappingpdfs.132547.pdf.task_617_41_42,quarried limestone member,"{617,41,42,""Quarried Limestone""}",,1,1
72997,overlappingpdfs.133007.pdf.task,member,ROCK_DOC_overlappingpdfs.133007.pdf.task_151_12_13,linstone chine member,"{151,12,13,""Linstone Chine""}",,1,1
82869,overlappingpdfs.132482.pdf.task,formation,ROCK_DOC_overlappingpdfs.132482.pdf.task_59_25_28,santa clara abajo formation,"{59,25,28,""Santa Clara Abajo Formation""}",,1,0.978
1863,overlappingpdfs.138365.pdf.task,formation,ROCK_DOC_overlappingpdfs.138365.pdf.task_649_0_0,harrison formation,"{649,0,0,Harrison}",,1,1
71740,overlappingpdfs.136699.pdf.task,member,ROCK_DOC_overlappingpdfs.136699.pdf.task_391_18_18,blizzard member,"{391,18,18,Blizzard}",,1,1
134084,overlappingpdfs.132899.pdf.task,limestone,ROCK_DOC_overlappingpdfs.132899.pdf.task_6_28_30,mule spring limestone formation,"{6,28,30,""Mule Spring Limestone""}",,1,0.996
145552,overlappingpdfs.138624.pdf.task,shale,ROCK_DOC_overlappingpdfs.138624.pdf.task_5483_0_1,windom shale,"{5483,0,1,""Windom Shale""}",,1,0.995
101078,overlappingpdfs.136837.pdf.task,shale,ROCK_DOC_overlappingpdfs.136837.pdf.task_17_1_1,waldron shale,"{17,1,1,Waldron}",,1,0.996
16298,overlappingpdfs.138449.pdf.task,sandstone,ROCK_DOC_overlappingpdfs.138449.pdf.task_421_36_36,eagle sandstone,"{421,36,36,Eagle}",,1,1
112401,overlappingpdfs.132283.pdf.task,formation,ROCK_DOC_overlappingpdfs.132283.pdf.task_1256_5_5,gowers formation,"{1256,5,5,Gowers}",,1,0.996
73766,overlappingpdfs.138834.pdf.task,formation,ROCK_DOC_overlappingpdfs.138834.pdf.task_1528_18_19,winton formation,"{1528,18,19,""Winton Formation""}",,1,0.996
42603,overlappingpdfs.138707.pdf.task,member,ROCK_DOC_overlappingpdfs.138707.pdf.task_764_6_7,rose creek member,"{764,6,7,""Rose Creek""}",,1,1
81993,overlappingpdfs.132762.pdf.task,sandstone,ROCK_DOC_overlappingpdfs.132762.pdf.task_17_10_11,colalura sandstone,"{17,10,11,""Colalura Sandstone""}",,1,0.996
139288,overlappingpdfs.133414.pdf.task,formation,ROCK_DOC_overlappingpdfs.133414.pdf.task_663_14_15,daohugou formation,"{663,14,15,""Daohugou Formation""}",,1,0.996
