id,docid,type,eid1,eid2,entity1,entity2,is_correct,category,expectation
594163,overlappingpdfs.138622.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138622.pdf.task_912_1_2,TIME_DOC_overlappingpdfs.138622.pdf.task_912_3_3,white river group,Oligocene|33.90000|23.03000,,1,0.996
580966,overlappingpdfs.138450.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138450.pdf.task_1277_15_16,TIME_DOC_overlappingpdfs.138450.pdf.task_1277_14_14,bridger formation,Eocene|56.00000|33.90000,,1,1
580762,overlappingpdfs.132009.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132009.pdf.task_47_19_19,TIME_DOC_overlappingpdfs.132009.pdf.task_47_18_18,limestone formation,Wenlock|433.40000|427.40000,,1,1
591999,overlappingpdfs.138707.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138707.pdf.task_2481_12_14,TIME_DOC_overlappingpdfs.138707.pdf.task_2481_10_11,john day formation,Early Miocene|23.0300|15.9700,,1,0.996
605766,overlappingpdfs.135620.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135620.pdf.task_10_5_5,TIME_DOC_overlappingpdfs.135620.pdf.task_10_3_4,burgess shale,Middle Cambrian|513.0000|501.0000,,1,0.996
606250,overlappingpdfs.132527.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132527.pdf.task_1578_0_1,TIME_DOC_overlappingpdfs.132527.pdf.task_1578_8_8,kayenta formation,Sinemurian|199.30000|190.80000,,1,0.999
580849,overlappingpdfs.131563.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.131563.pdf.task_297_16_17,TIME_DOC_overlappingpdfs.131563.pdf.task_297_13_14,rocky camp member,Middle Devonian|397.5000|385.3000,,1,1
578827,overlappingpdfs.138578.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138578.pdf.task_4868_3_3,TIME_DOC_overlappingpdfs.138578.pdf.task_4868_0_1,sellersburg formation,Middle Devonian|397.5000|385.3000,,1,1
584896,overlappingpdfs.138465.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138465.pdf.task_1538_2_2,TIME_DOC_overlappingpdfs.138465.pdf.task_1538_0_0,grandeur member,Permian|298.90000|252.17000,,1,1
611693,overlappingpdfs.133618.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133618.pdf.task_45_17_17,TIME_DOC_overlappingpdfs.133618.pdf.task_45_15_16,berchem formation,Middle Miocene|15.9700|11.6080,,1,0.998
580413,overlappingpdfs.132874.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132874.pdf.task_556_8_8,TIME_DOC_overlappingpdfs.132874.pdf.task_556_7_7,portland formation,Hettangian|201.30000|199.30000,t,1,1
579260,overlappingpdfs.132972.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132972.pdf.task_189_18_20,TIME_DOC_overlappingpdfs.132972.pdf.task_189_22_23,maiz gordo formation,Late Paleocene|58.7000|55.8000,,1,1
593307,overlappingpdfs.133275.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133275.pdf.task_66_48_49,TIME_DOC_overlappingpdfs.133275.pdf.task_66_50_50,frondderw tuff formation,Caradoc|460.90000|449.50000,,1,0.99
614961,overlappingpdfs.1375.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.1375.pdf.task_911_13_13,TIME_DOC_overlappingpdfs.1375.pdf.task_911_16_16,rayoso formation,Cretaceous|145.00000|66.00000,,1,1
605642,overlappingpdfs.132293.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132293.pdf.task_299_23_24,TIME_DOC_overlappingpdfs.132293.pdf.task_299_18_19,kota formation,Middle Jurassic|175.6000|161.2000,,1,1
588001,overlappingpdfs.132936.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132936.pdf.task_105_2_3,TIME_DOC_overlappingpdfs.132936.pdf.task_105_6_6,hill formation,Bathonian|168.30000|166.10000,,1,1
606928,overlappingpdfs.132655.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132655.pdf.task_495_7_7,TIME_DOC_overlappingpdfs.132655.pdf.task_495_10_11,wessex formation,Early Cretaceous|145.5000|99.6000,,1,1
609733,overlappingpdfs.132282.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.132282.pdf.task_320_11_11,TIME_DOC_overlappingpdfs.132282.pdf.task_320_14_14,meitan formation,Floian|477.70000|470.00000,,1,0.999
600523,overlappingpdfs.135922.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.135922.pdf.task_754_6_7,TIME_DOC_overlappingpdfs.135922.pdf.task_754_4_5,kanosh formation,Middle Ordovician|471.8000|460.9000,,1,1
600323,overlappingpdfs.133129.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.133129.pdf.task_233_8_9,TIME_DOC_overlappingpdfs.133129.pdf.task_233_1_1,scalby formations,Pliensbachian|190.80000|182.70000,,1,0.996
594549,overlappingpdfs.138622.pdf.task,FORMATIONINTERVAL,ROCK_DOC_overlappingpdfs.138622.pdf.task_4499_186_187,TIME_DOC_overlappingpdfs.138622.pdf.task_4499_190_190,harrison formation,Arikareean|30.80000|20.43000,,1,1
